"nctid","reason_for_termination","anticipated_enrollment","actual_enrollment","has_summary_result","start_date","stop_date","trial_days","source"
"NCT00150878","Insurance coverage reached",172,198,FALSE,"2003-12-01","2009-12-01",2192,"Intovalue"
"NCT00480077","Low enrollment rates",2300,335,TRUE,"2007-03-01","2012-01-01",1767,"Intovalue"
"NCT00618384","[No reason posted]",72,43,FALSE,"2008-01-01","2011-05-01",1216,"Intovalue"
"NCT00640679","Due to slow enrollment the study was stopped prematurely.",3000,782,FALSE,"2008-04-01","2012-08-01",1583,"Intovalue"
"NCT00672334","[No reason posted]",402,350,FALSE,"2008-05-01","2011-06-01",1126,"Intovalue"
"NCT00690118","The interim analysis showed no tendency in favour of the verum group. Therefore it was decided to stop the study prematurely.",220,219,FALSE,"2008-05-01","2011-01-01",975,"Intovalue"
"NCT00716833","poor recruitment",120,87,FALSE,"2006-02-01","2010-12-01",1764,"Intovalue"
"NCT00798525","Supply of Lepirudin ended on 01. April 2012, thus trial terminated on 31. March 2012",240,70,FALSE,"2009-01-01","2012-03-01",1155,"Intovalue"
"NCT00803309","At the end of the planned recruitment period the expected number of subjects could not be included in the trial.",150,99,FALSE,"2008-11-01","2013-08-01",1734,"Intovalue"
"NCT00986258","This clinical trial was terminated early, due to slow recruitment and study drug shortages.",180,136,TRUE,"2009-10-01","2010-12-01",426,"Intovalue"
"NCT00996554","Feasibility reasons; recruitment was too slow.",942,252,FALSE,"2004-01-01","2012-01-01",2922,"Intovalue"
"NCT00999856","Two cohorts successfully completed; further cohorts not needed; no safety issue!",65,28,FALSE,"2008-08-01","2012-03-01",1308,"Intovalue"
"NCT01021423","Terminated by sponsor due to new unpublished data that rendered the current design of the study no longer clinically relevant. There were no safety concerns.",382,9,TRUE,"2010-04-01","2011-03-01",334,"Intovalue"
"NCT01030666","shelf life of investigational drug ran out before 90 patients could be included",NA,61,TRUE,"2007-04-01","2011-01-01",1371,"Intovalue"
"NCT01143272","Masked independent interim analysis: completion of the trial was unlikely.",1520,477,TRUE,"2010-06-01","2012-11-01",884,"Intovalue"
"NCT01178255","recruitment difficulties",228,44,FALSE,"2010-08-01","2011-11-01",457,"Intovalue"
"NCT01239992","negative endpoint study resulting in withdrawal of study drug",20,12,TRUE,"2011-06-01","2013-01-01",580,"Intovalue"
"NCT01297712","enrollment terminated, analysis ongoing",NA,1069,FALSE,"2009-09-01","2010-11-01",426,"Intovalue"
"NCT01339026","Change in guidelines favouring newer antiplatelet drugs in ACS",140,44,FALSE,"2012-02-01","2013-09-01",578,"Intovalue"
"NCT01564095","Missing evidence of the effectiveness of the study medication",86,25,FALSE,"2011-10-01","2013-07-01",639,"Intovalue"
"NCT01601496","Slow Enrollment",150,117,TRUE,"2009-10-26","2013-07-24",1367,"Intovalue"
"NCT00626548","early efficacy review by the Independent Data Monitoring Committee indicated it was unlikely to meet its primary efficacy endpoints",1500,2577,TRUE,"2008-01-01","2011-03-01",1155,"Intovalue"
"NCT00746720","Patient recruitment difficulties",52,23,FALSE,"2006-05-01","2009-07-01",1157,"Intovalue"
"NCT00368121","Lack of recruitable patients",33,13,FALSE,"2006-08-01","2012-06-01",2131,"Intovalue"
"NCT00502554","insufficient patient recruitment and ECP capacity",20,12,FALSE,"2007-08-01","2010-04-01",974,"Intovalue"
"NCT00663104","[No reason posted]",126,126,FALSE,"2008-04-01","2009-06-01",426,"Intovalue"
"NCT00667667","[No reason posted]",108,108,FALSE,"2008-04-01","2009-06-01",426,"Intovalue"
"NCT00708942","Slow recruitment, study stopped with only 13 of 70 patients included in second part of the study",150,83,TRUE,"2009-01-01","2012-01-01",1095,"Intovalue"
"NCT00720850","Low recruitment, scientific rationale not applicable anymore to all patients and possible induction of GvHD by the study drug",50,10,FALSE,"2008-04-01","2011-01-01",1005,"Intovalue"
"NCT00823290","Investigator left site",18,2,FALSE,"2009-01-01","2010-12-01",699,"Intovalue"
"NCT00933374","delayed recruitment",30,28,FALSE,"2009-07-01","2012-11-01",1219,"Intovalue"
"NCT01079091","The foundations of our pilotstudy planning has changed.",160,14,FALSE,"2010-09-01","2013-07-01",1034,"Intovalue"
"NCT01079104","The foundations of our pilotstudy planning has changed.",184,7,FALSE,"2010-09-01","2013-08-01",1065,"Intovalue"
"NCT01187888","IMP used off label by phys. in pat. with PSP. Thus no more eligible patients were available for the study(pre-treatm.with Rasagiline=exclusion criterion",112,44,FALSE,"2010-01-01","2012-06-01",882,"Intovalue"
"NCT01215266","Slow recruitment",NA,98,FALSE,"2006-10-01","2011-06-01",1704,"Intovalue"
"NCT01245985","slow recruitment (only 8 patients recruited and treated until 12&#x2F;2012)",50,8,FALSE,"2010-11-01","2012-11-01",731,"Intovalue"
"NCT00125606","insufficient patient recruitement",172,30,FALSE,"2004-10-01","2011-07-01",2464,"Intovalue"
"NCT00331721","Scientific data called into question the viability of the substance class",72,24,FALSE,"2006-05-01","2009-05-01",1096,"Intovalue"
"NCT00368264","Failure to recruit patients with membranous lupus nephritis not previously treated with azathioprine .",44,1,FALSE,"2006-09-01","2009-06-01",1004,"Intovalue"
"NCT00405873","Lack of efficacy",NA,73,FALSE,"2007-03-01","2010-03-01",1096,"Intovalue"
"NCT00457951","Interim analysis: safety without efficacy ODSH in patients with acute COPD.",66,158,TRUE,"2007-04-01","2009-08-01",853,"Intovalue"
"NCT00511160","Study suspended due to logistical&#x2F;personnel difficulties",120,120,FALSE,"2007-08-01","2010-08-01",1096,"Intovalue"
"NCT00586794","[No reason posted]",80,24,FALSE,"2007-12-01","2012-03-01",1552,"Intovalue"
"NCT00623415","[No reason posted]",80,30,FALSE,"2007-12-01","2012-11-01",1797,"Intovalue"
"NCT00628797","lack of recruitement",60,9,FALSE,"2008-02-01","2010-07-01",881,"Intovalue"
"NCT00647192","Inclusion rate too low. Recruitment of further study centers too costly.",220,38,FALSE,"2008-03-01","2012-02-01",1432,"Intovalue"
"NCT00663455","Recruitment goals were not achieved. Extension of the trial concept had to be abjected due to methodological reasons.",50,50,FALSE,"2008-12-01","2012-12-01",1461,"Intovalue"
"NCT00682747","poor recruitment",100,13,FALSE,"2008-05-01","2011-03-01",1034,"Intovalue"
"NCT00691912","Study was stopped due because recrutation.was much slower as anticipated.",6,26,FALSE,"2006-12-01","2013-12-01",2557,"Intovalue"
"NCT00704002","[No reason posted]",80,9,FALSE,"2006-12-01","2010-02-01",1158,"Intovalue"
"NCT00776191","al study sites stoped on 15&#x2F;05&#x2F;2012 because of insufficient recrutement.",25,5,FALSE,"2008-09-01","2012-05-01",1338,"Intovalue"
"NCT00806468","lack of recruitment",20,1,FALSE,"2009-02-01","2010-12-01",668,"Intovalue"
"NCT00823225","Insufficient recruitment of study patients",130,5,FALSE,"2008-06-01","2011-05-01",1064,"Intovalue"
"NCT00852059","Diffculties to recruit anticipated study size, now analysis",106,32,FALSE,"2009-03-01","2013-12-01",1736,"Intovalue"
"NCT00866684","Insufficient patient recruitment",280,44,FALSE,"2007-01-01","2011-01-01",1461,"Intovalue"
"NCT00881257","Data was inconclusive",50,78,FALSE,"2007-08-01","2009-11-01",823,"Intovalue"
"NCT00887276","[No reason posted]",290,290,FALSE,"2008-11-01","2011-01-01",791,"Intovalue"
"NCT00930241","logistic reasons (insufficient funding, technical problems with MEMS)",48,25,FALSE,"2009-07-01","2012-07-01",1096,"Intovalue"
"NCT00932724","The sponsor declared the early termination of the study due to poor recruitment of patients.",250,77,FALSE,"2009-07-01","2012-08-01",1127,"Intovalue"
"NCT00939939","Recruitment failure",40,3,FALSE,"2010-03-01","2011-05-01",426,"Intovalue"
"NCT00967343","[No reason posted]",70,40,TRUE,"2009-08-01","2012-02-01",914,"Intovalue"
"NCT01058369","Insufficient patient recruitment (only 2 patients)",45,2,TRUE,"2010-04-01","2013-01-01",1006,"Intovalue"
"NCT01058759","The external funding (pharmaceutical company) was stopped and could not be substituded by internal funding.",216,14,FALSE,"2009-11-01","2011-02-01",457,"Intovalue"
"NCT01069601","End of H1N1 Swine Flu Pandemic",120,13,FALSE,"2010-02-01","2011-04-01",424,"Intovalue"
"NCT01069965","Funding support withdrawn.",300,196,FALSE,"2010-10-01","2013-08-01",1035,"Intovalue"
"NCT01071135","Planned number of 30 subjects could not be recruited during recruitment phase.",NA,5,FALSE,"2009-09-01","2010-08-01",334,"Intovalue"
"NCT01088256","[No reason posted]",62,9,FALSE,"2011-02-01","2012-08-01",547,"Intovalue"
"NCT01088308","No enrollements for more than 6 months in Phase II",30,18,FALSE,"2010-03-01","2012-05-01",792,"Intovalue"
"NCT01098565","The goal of collecting proof-of-concept information was met through additional modeling studies, new published evidence and information collected from the study",25,6,FALSE,"2010-04-01","2011-11-01",579,"Intovalue"
"NCT01109966","[No reason posted]",228,34,FALSE,"2010-06-01","2012-10-01",853,"Intovalue"
